ProfileID,GameID,RoundID,Token,Invest,Market2,Total,Fee,Fine,Paid,Total2,Seq1,Seq2,Seq3,Seq4,Received,Session,Treat,Homo,FF,Public,Gender,Age,GPA,Hour,MaxED,,,,,,,,
1390,1,6,60,25,88.13,123.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,6,60,35,123.38,148.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,7,40,30,82.5,92.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,7,40,35,96.25,101.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,7,60,25,68.75,103.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,7,60,40,110,130,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,8,40,27,76.28,89.28,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,8,40,35,98.88,103.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,8,60,30,84.75,114.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,8,60,35,98.88,123.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,9,40,5,17.5,52.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,9,40,30,105,115,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,9,60,30,105,135,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,9,60,35,122.5,147.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,10,40,25,65.63,80.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,10,40,40,105,105,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,10,60,35,91.88,116.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,10,60,35,91.88,116.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,11,40,15,48.75,73.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,11,40,35,113.75,118.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,11,60,30,97.5,127.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,11,60,30,97.5,127.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,12,40,20,61,81,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,12,40,35,106.75,111.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,12,60,28,85.4,117.4,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,12,60,35,106.75,131.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,13,40,25,73.13,88.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,13,40,33,96.53,103.53,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,13,60,30,87.75,117.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,13,60,35,102.38,127.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,14,40,2,5.35,43.35,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,14,40,40,107,107,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,14,60,31,82.93,111.93,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,14,60,60,160.5,160.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,15,40,40,75,75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,15,40,35,65.63,70.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,15,60,30,56.25,86.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,15,60,60,112.5,112.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1370,1,16,40,20,47.5,67.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.2,24,0,,,,,,,,
1410,1,16,40,35,83.13,88.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,20,3.94,20,2,,,,,,,,
1390,1,16,60,30,71.25,101.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,23,3.2,0,10,,,,,,,,
1400,1,16,60,60,142.5,142.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,19,3.5,0,1,,,,,,,,
1270,2,1,40,20,75,95,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,1,40,20,75,95,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,1,60,21,78.75,117.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,1,60,29,108.75,139.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,2,40,40,114,114,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,2,40,35,99.75,104.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,2,60,21,59.85,98.85,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,2,60,30,85.5,115.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,3,40,35,113.75,118.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,3,40,30,97.5,107.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,3,60,25,81.25,116.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,3,60,20,65,105,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,4,40,35,97.13,102.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,4,40,29,80.48,91.48,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,4,60,20,55.5,95.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,4,60,45,124.88,139.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,5,40,35,91,96,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,5,40,36,93.6,97.6,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,5,60,25,65,100,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,5,60,40,104,124,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,6,40,40,116,116,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,6,40,39,113.1,114.1,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,6,60,20,58,98,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,6,60,25,72.5,107.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,7,40,35,135.63,140.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,7,40,15,58.13,83.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,7,60,0,0,60,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,7,60,35,135.63,160.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,8,40,35,97.13,102.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,8,40,39,108.23,109.23,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,8,60,25,69.38,104.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,8,60,30,83.25,113.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,9,40,40,104,104,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,9,40,40,104,104,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,9,60,21,54.6,93.6,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,9,60,35,91,116,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,10,40,30,97.5,107.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,10,40,35,113.75,118.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,10,60,25,81.25,116.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,10,60,20,65,105,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
